title,url,created_at
Seven enemy Shahed-136 drones destroyed in Mykolaiv region in past day,https://www.ukrinform.net/rubric-ato/3645053-seven-enemy-shahed136-drones-destroyed-in-mykolaiv-region-in-past-day.html,2023-01-02 10:18:55.207225
Ukrainians to have access to internet for 10-12 hours after blackout - Ministry of Digital Transformation,https://www.ukrinform.net/rubric-economy/3645962-ukrainians-to-have-access-to-internet-for-1012-hours-after-blackout-ministry-of-digital-transformation.html,2023-01-03 22:19:26.356689
Officials responsible for excessive pressure on businesses to face bigger fines - watchdog chief,https://www.ukrinform.net/rubric-economy/3645543-officials-responsible-of-excessive-pressure-on-businesses-to-face-bigger-fines-watchdog-chief.html,2023-01-03 10:19:16.982172
Ukraine’s Armed Forces continue counteroffensive in Donetsk direction – Zaluzhnyi,https://www.ukrinform.net/rubric-ato/3646039-ukraines-armed-forces-continue-counteroffensive-actions-in-donetsk-direction-zaluzhnyi.html,2023-01-04 10:19:37.691746
Zelensky on possible new Russian attacks: Now everyone involved in protection of sky should be especially attentive,https://www.ukrinform.net/rubric-ato/3645465-zelensky-on-possible-new-russian-attacks-now-everyone-involved-in-protection-of-sky-should-be-especially-attentive.html,2023-01-03 10:19:16.982644
Soldiers' widows group calls on Putin to order major mobilisation for Ukraine war,https://www.reuters.com/article/ukraine-crisis-putin/soldiers-widows-group-calls-on-putin-to-order-major-mobilisation-for-ukraine-war-idUSKBN2TI0WC,2023-01-03 22:19:30.598964
"Ukraine's air defense forces down 39 kamikaze drones, Kh-59 missile",https://www.ukrinform.net/rubric-ato/3645064-ukraines-air-defense-forces-down-39-kamikaze-drones-kh59-missile.html,2023-01-02 10:18:55.207122
Russia's war on Ukraine latest: Attack by waves of drones,https://www.reuters.com/article/ukraine-crisis-snapshot/russias-war-on-ukraine-latest-attack-by-waves-of-drones-idUSKBN2RX0FQ,2023-01-02 10:18:59.415807
Russians killed five civilians in Ukraine in past day,https://www.ukrinform.net/rubric-ato/3646256-russians-killed-five-civilians-in-ukraine-in-past-day.html,2023-01-04 10:19:37.690414
"What Really Happened With Russia’s Economy in 2022? \t\t",https://www.themoscowtimes.com/2023/01/03/what-really-happened-with-russias-economy-in-2022-a79856,2023-01-04 10:19:44.526923
Ukrainian attack cut power in Russian region for a time - governor,https://www.reuters.com/article/ukraine-crisis-russia-klimovsky/ukrainian-attack-cut-power-in-russian-region-for-a-time-governor-idUSKBN2TH0I7,2023-01-03 10:19:19.229903
Ukraine’s Air Force launches 10 strikes on enemy positions,https://www.ukrinform.net/rubric-ato/3645392-ukraines-air-force-launches-10-strikes-on-enemy-positions.html,2023-01-02 22:19:06.466238
Invaders transporting fortifications toward Berdiansk in southern Ukraine,https://www.ukrinform.net/rubric-ato/3645999-invaders-transporting-massive-elements-for-defense-fortifications-toward-berdiansk-in-southern-ukraine.html,2023-01-04 10:19:37.691806
"Chocolate Sausage and the End of the Rat King \t\t",https://www.themoscowtimes.com/2022/12/31/chocolate-sausage-and-the-end-of-the-rat-king-a79857,2023-01-02 10:19:04.067464
President of Ukraine extends visa-free entry for British citizens,https://www.ukrinform.net/rubric-polytics/3645373-president-of-ukraine-extends-visafree-entry-for-british-citizens.html,2023-01-02 22:19:06.466416
"Skibitsky: Russia used about 660 Shahed drones, expects new batch of up to 300 units",https://www.ukrinform.net/rubric-ato/3646286-skibitsky-russia-used-about-660-shahed-drones-expects-new-batch-of-up-to-300-units.html,2023-01-04 10:19:37.689591
"Enemy shells Kherson region 79 times over past day, killing 2 people, injuring 9 more ",https://www.ukrinform.net/rubric-ato/3645651-enemy-shells-kherson-region-79-times-over-past-day-killing-2-people-injuring-9-more.html,2023-01-03 10:19:16.981428
Zelensky discusses further defense cooperation with Sunak,https://www.ukrinform.net/rubric-polytics/3645919-zelensky-discusses-further-defense-cooperation-with-sunak.html,2023-01-03 22:19:26.356867
Night air attack on Kyiv: 22 enemy targets downed,https://www.ukrinform.net/rubric-ato/3645037-night-air-attack-on-kyiv-22-enemy-targets-shot-down.html,2023-01-02 10:18:55.207533
Night attack on Kyiv: Klitschko reports damage to energy infrastructure,https://www.ukrinform.net/rubric-ato/3645027-night-attack-on-kyiv-klitschko-reports-damage-to-energy-infrastructure.html,2023-01-02 10:18:55.208250
Ukrainian-made nanosatellite released into Earth's orbit in USA,https://www.ukrinform.net/rubric-society/3645895-ukrainianmade-nanosatellite-released-into-earth-orbit-in-usa.html,2023-01-03 22:19:26.357046
"Ukraine has understanding of how to ensure supplies to combat zones, hold rear - Shmyhal",https://www.ukrinform.net/rubric-polytics/3645952-ukraine-has-understanding-of-how-to-ensure-supplies-to-combat-zones-hold-rear-shmyhal.html,2023-01-03 22:19:26.356748
Russia’s Kh-55 missile fragments discovered in Kyiv region,https://www.ukrinform.net/rubric-ato/3644942-russias-kh55-missile-fragments-discovered-in-kyiv-region.html,2023-01-02 10:18:55.209294
"US, Israel deciding how to prevent Iran from supplying drones to Russia - State Department",https://www.ukrinform.net/rubric-polytics/3646139-us-israel-deciding-how-to-prevent-iran-from-supplying-drones-to-russia-state-department.html,2023-01-04 10:19:37.691290
Ukraine Army engages Russian firing points in Kherson region,https://www.ukrinform.net/rubric-ato/3645223-ukraine-army-engages-russian-firing-points-in-kherson-region.html,2023-01-02 22:19:06.467521
"Exclusive-World Bank seeks more funds to address climate change, other crises -document",https://www.reuters.com/article/climate-worldbank-exclusive/exclusive-world-bank-seeks-more-funds-to-address-climate-change-other-crises-document-idUSKBN2TI01R,2023-01-04 10:19:39.993726
Ukrainian-made nanosatellite to be released into Earth orbit tomorrow,https://www.ukrinform.net/rubric-society/3645430-ukrainianmade-nanosatellite-to-be-released-into-earth-orbit-tomorrow.html,2023-01-03 10:19:16.983017
Shelling of ice arena in Druzhkivka is another confession of terrorist state - President,https://www.ukrinform.net/rubric-ato/3646080-shelling-of-ice-arena-in-druzhkivka-is-another-confession-of-terrorist-state-president.html,2023-01-04 10:19:37.691462
"Russian military death toll in Ukraine rises to 107,440",https://www.ukrinform.net/rubric-ato/3645070-russian-military-death-toll-in-ukraine-rises-to-107440.html,2023-01-02 10:18:55.207010
Ukraine's Zelenskiy in New Year message: \"I want to wish all of us one thing – victory\",https://www.reuters.com/article/ukraine-crisis-zelenskiy-victory/ukraines-zelenskiy-in-new-year-message-i-want-to-wish-all-of-us-one-thing-victory-idUSKBN2TF0C7,2023-01-02 10:18:59.419041
"Overnight strikes on Kyiv cause power, heating outages - mayor",https://www.reuters.com/article/ukraine-crisis-kyiv-power/overnight-strikes-on-kyiv-cause-power-heating-outages-mayor-idUSKBN2TH02B,2023-01-02 22:19:09.821015
"Russian Peacekeepers Find Themselves Sidelined in Nagorno-Karabakh\t\t",https://www.themoscowtimes.com/2023/01/03/russian-peacekeepers-find-themselves-sidelined-in-nagorno-karabakh-a79868,2023-01-04 10:19:44.527515
Russians shell Sumy region 70 times in past day,https://www.ukrinform.net/rubric-ato/3645536-russians-shell-sumy-region-70-times-in-past-day.html,2023-01-03 10:19:16.982345
"Zelensky, Rutte discuss next Ramstein format meeting",https://www.ukrinform.net/rubric-polytics/3645835-zelensky-rutte-discuss-next-ramstein-format-meeting.html,2023-01-03 22:19:26.357273
Invaders take half of residents out of village in Luhansk region within ‘filtration’,https://www.ukrinform.net/rubric-ato/3645426-invaders-take-half-of-residents-out-of-village-in-luhansk-region-within-filtration.html,2023-01-03 10:19:16.983073
Russians launch missile attack on Kramatorsk,https://www.ukrinform.net/rubric-ato/3645874-russians-launch-missile-attack-on-kramatorsk.html,2023-01-03 22:19:26.357103
